"","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"662","< 0 DM",12,"good","car",900,"unknown","1 - 4 years",4,2,23,"none","own",1,"skilled",1,"no","yes"
"570","< 0 DM",48,"good","furniture/appliances",6758,"< 100 DM","1 - 4 years",3,2,31,"none","own",1,"skilled",1,"yes","yes"
"432","1 - 200 DM",24,"good","car0",11328,"< 100 DM","1 - 4 years",2,3,29,"bank","own",2,"management",1,"yes","yes"
"103","unknown",6,"poor","furniture/appliances",932,"< 100 DM","1 - 4 years",3,2,24,"none","own",1,"skilled",1,"no","no"
"875","< 0 DM",12,"good","furniture/appliances",3590,"< 100 DM","1 - 4 years",2,2,29,"none","own",1,"unskilled",2,"no","no"
"29","1 - 200 DM",7,"good","furniture/appliances",2415,"< 100 DM","1 - 4 years",3,2,34,"none","own",1,"skilled",1,"no","no"
"185","1 - 200 DM",18,"critical","car",884,"< 100 DM","> 7 years",4,4,36,"bank","own",1,"skilled",2,"yes","yes"
"170","1 - 200 DM",24,"critical","business",1935,"< 100 DM","> 7 years",4,4,31,"none","own",2,"skilled",1,"yes","yes"
"84","< 0 DM",24,"good","car0",1755,"< 100 DM","> 7 years",4,4,58,"none","own",1,"unskilled",1,"yes","no"
"708","1 - 200 DM",12,"perfect","furniture/appliances",2969,"< 100 DM","< 1 year",4,3,25,"none","rent",2,"skilled",1,"no","yes"
"208","1 - 200 DM",12,"critical","furniture/appliances",1424,"< 100 DM","4 - 7 years",4,3,26,"none","own",1,"skilled",1,"no","no"
"729","1 - 200 DM",48,"very good","business",6416,"< 100 DM","> 7 years",4,3,59,"none","rent",1,"skilled",1,"no","yes"
"835","> 200 DM",15,"good","furniture/appliances",2327,"< 100 DM","< 1 year",2,3,25,"none","own",1,"unskilled",1,"no","yes"
"75","< 0 DM",36,"good","education",1977,"unknown","> 7 years",4,4,40,"none","own",1,"management",1,"yes","yes"
"979","unknown",24,"poor","car",2538,"< 100 DM","> 7 years",4,4,47,"none","own",2,"unskilled",2,"no","yes"
"330","1 - 200 DM",6,"good","furniture/appliances",1068,"< 100 DM","> 7 years",4,4,28,"none","own",1,"skilled",2,"no","no"
"765","unknown",24,"critical","car",2463,"100 - 500 DM","4 - 7 years",4,3,27,"none","own",2,"skilled",1,"yes","no"
"680","unknown",18,"good","furniture/appliances",1453,"< 100 DM","< 1 year",3,1,26,"none","own",1,"skilled",1,"no","no"
"264","unknown",12,"critical","education",2748,"< 100 DM","> 7 years",2,4,57,"bank","other",3,"unskilled",1,"no","no"
"118","< 0 DM",10,"critical","furniture/appliances",2132,"unknown","< 1 year",2,3,27,"none","rent",2,"skilled",1,"no","no"
"985","unknown",24,"critical","furniture/appliances",2028,"< 100 DM","4 - 7 years",2,2,30,"none","own",2,"unskilled",1,"no","no"
"510","unknown",39,"good","car",8588,"100 - 500 DM","> 7 years",4,2,45,"none","own",1,"management",1,"yes","no"
"296","1 - 200 DM",48,"good","furniture/appliances",9960,"< 100 DM","< 1 year",1,2,26,"none","own",1,"skilled",1,"yes","yes"
"801","unknown",24,"critical","education",1597,"< 100 DM","> 7 years",4,4,54,"none","other",2,"skilled",2,"no","no"
"518","unknown",36,"critical","furniture/appliances",7127,"< 100 DM","< 1 year",2,4,23,"none","rent",2,"skilled",1,"yes","yes"
"886","< 0 DM",12,"good","education",795,"< 100 DM","< 1 year",4,4,53,"none","own",1,"skilled",1,"no","yes"
"388","1 - 200 DM",18,"critical","furniture/appliances",7374,"< 100 DM","unemployed",4,4,40,"store","own",2,"management",1,"yes","no"
"149","< 0 DM",36,"critical","furniture/appliances",5371,"< 100 DM","1 - 4 years",3,2,28,"none","own",2,"skilled",1,"no","no"
"715","1 - 200 DM",60,"good","car",14027,"< 100 DM","4 - 7 years",4,2,27,"none","own",1,"management",1,"yes","yes"
"9","unknown",12,"good","furniture/appliances",3059,"> 1000 DM","4 - 7 years",2,4,61,"none","own",1,"unskilled",1,"no","no"
"874","unknown",15,"good","furniture/appliances",874,"unknown","< 1 year",4,1,24,"none","own",1,"skilled",1,"no","no"
"593","unknown",21,"good","business",1572,"> 1000 DM","> 7 years",4,4,36,"bank","own",1,"unskilled",1,"no","no"
"636","unknown",12,"good","education",1393,"< 100 DM","> 7 years",4,4,47,"bank","own",3,"skilled",2,"yes","no"
"545","unknown",12,"critical","car",1255,"< 100 DM","> 7 years",4,4,61,"none","own",2,"unskilled",1,"no","no"
"216","1 - 200 DM",6,"critical","education",932,"unknown","4 - 7 years",1,3,39,"none","own",2,"unskilled",1,"no","no"
"775","> 200 DM",12,"critical","car",1480,"500 - 1000 DM","unemployed",2,4,66,"bank","other",3,"unemployed",1,"no","no"
"993","< 0 DM",18,"good","furniture/appliances",1936,"unknown","4 - 7 years",2,4,23,"none","rent",2,"unskilled",1,"no","no"
"651","< 0 DM",48,"good","education",7476,"< 100 DM","4 - 7 years",4,1,50,"none","other",1,"management",1,"yes","no"
"924","1 - 200 DM",12,"good","car",2002,"< 100 DM","4 - 7 years",3,4,30,"none","rent",1,"skilled",2,"yes","no"
"312","unknown",24,"good","furniture/appliances",5511,"100 - 500 DM","1 - 4 years",4,1,25,"store","own",1,"skilled",1,"no","no"
"807","1 - 200 DM",6,"good","furniture/appliances",590,"< 100 DM","< 1 year",3,3,26,"none","own",1,"unskilled",1,"no","no"
"461","< 0 DM",36,"good","furniture/appliances",3620,"< 100 DM","1 - 4 years",1,2,37,"none","own",1,"skilled",2,"no","no"
"106","1 - 200 DM",24,"critical","car0",11938,"< 100 DM","1 - 4 years",2,3,39,"none","own",2,"management",2,"yes","yes"
"768","unknown",10,"good","car",2901,"unknown","< 1 year",1,4,31,"none","rent",1,"skilled",1,"no","no"
"8","1 - 200 DM",36,"good","car",6948,"< 100 DM","1 - 4 years",2,2,35,"none","rent",1,"management",1,"yes","no"
"917","unknown",10,"good","car",2848,"100 - 500 DM","1 - 4 years",1,2,32,"none","own",1,"skilled",2,"no","no"
"68","1 - 200 DM",12,"good","car",1007,"> 1000 DM","1 - 4 years",4,1,22,"none","own",1,"skilled",1,"no","no"
"916","1 - 200 DM",48,"perfect","car0",18424,"< 100 DM","1 - 4 years",1,2,32,"bank","own",1,"management",1,"yes","yes"
"47","unknown",36,"good","furniture/appliances",2299,"500 - 1000 DM","> 7 years",4,4,39,"none","own",1,"skilled",1,"no","no"
"928","< 0 DM",48,"good","car",10297,"< 100 DM","4 - 7 years",4,4,39,"store","other",3,"skilled",2,"yes","yes"
"663","unknown",21,"good","furniture/appliances",2241,"< 100 DM","> 7 years",4,2,50,"none","own",2,"skilled",1,"no","no"
"69","unknown",36,"good","education",1819,"< 100 DM","1 - 4 years",4,4,37,"store","other",1,"skilled",1,"yes","yes"
"951","1 - 200 DM",18,"critical","business",3590,"< 100 DM","unemployed",3,3,40,"none","own",3,"unemployed",2,"yes","no"
"844","unknown",24,"very good","business",1559,"< 100 DM","4 - 7 years",4,4,50,"bank","own",1,"skilled",1,"yes","no"
"416","unknown",36,"critical","car",5842,"< 100 DM","> 7 years",2,2,35,"none","own",2,"skilled",2,"yes","no"
"475","1 - 200 DM",18,"critical","furniture/appliances",1245,"< 100 DM","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"no","yes"
"336","< 0 DM",6,"critical","furniture/appliances",3384,"< 100 DM","1 - 4 years",1,4,44,"none","rent",1,"management",1,"yes","yes"
"334","unknown",48,"critical","car",11590,"100 - 500 DM","1 - 4 years",2,4,24,"bank","rent",2,"unskilled",1,"no","yes"
"356","1 - 200 DM",24,"good","car",1246,"< 100 DM","< 1 year",4,2,23,"store","own",1,"unskilled",1,"no","yes"
"145","unknown",21,"critical","furniture/appliances",2288,"< 100 DM","< 1 year",4,4,23,"none","own",1,"skilled",1,"yes","no"
"231","> 200 DM",36,"good","furniture/appliances",4210,"< 100 DM","1 - 4 years",4,2,26,"none","own",1,"skilled",1,"no","yes"
"128","1 - 200 DM",12,"good","renovations",639,"< 100 DM","1 - 4 years",4,2,30,"none","own",1,"skilled",1,"no","yes"
"866","unknown",15,"good","furniture/appliances",2221,"500 - 1000 DM","1 - 4 years",2,4,20,"none","rent",1,"skilled",1,"no","no"
"661","> 200 DM",12,"good","furniture/appliances",1297,"< 100 DM","1 - 4 years",3,4,23,"none","rent",1,"skilled",1,"no","no"
"183","< 0 DM",21,"very good","car",1647,"unknown","1 - 4 years",4,2,40,"none","own",2,"unskilled",2,"no","yes"
"628","1 - 200 DM",9,"very good","car",1437,"100 - 500 DM","4 - 7 years",2,3,29,"none","own",1,"skilled",1,"no","yes"
"734","unknown",24,"good","car",2603,"> 1000 DM","1 - 4 years",2,4,28,"none","rent",1,"skilled",1,"yes","no"
"157","< 0 DM",9,"critical","renovations",1288,"100 - 500 DM","> 7 years",3,4,48,"none","own",2,"skilled",2,"no","no"
"640","< 0 DM",42,"poor","furniture/appliances",4370,"< 100 DM","4 - 7 years",3,2,26,"bank","own",2,"skilled",2,"yes","yes"
"576","unknown",15,"critical","furniture/appliances",2788,"< 100 DM","4 - 7 years",2,3,24,"bank","own",2,"skilled",1,"no","no"
"430","< 0 DM",18,"critical","renovations",1190,"< 100 DM","unemployed",2,4,55,"none","other",3,"unemployed",2,"no","yes"
"724","1 - 200 DM",9,"good","furniture/appliances",790,"500 - 1000 DM","1 - 4 years",4,3,66,"none","own",1,"unskilled",1,"no","no"
"777","unknown",36,"critical","car",3535,"< 100 DM","4 - 7 years",4,4,37,"none","own",2,"skilled",1,"yes","no"
"815","< 0 DM",48,"good","car",3931,"< 100 DM","4 - 7 years",4,4,46,"none","other",1,"skilled",2,"no","yes"
"36","1 - 200 DM",45,"critical","furniture/appliances",4746,"< 100 DM","< 1 year",4,2,25,"none","own",2,"unskilled",1,"no","yes"
"277","unknown",18,"critical","furniture/appliances",2404,"< 100 DM","1 - 4 years",2,2,26,"none","own",2,"skilled",1,"no","no"
"969","unknown",42,"good","furniture/appliances",7166,"unknown","4 - 7 years",2,4,29,"none","rent",1,"skilled",1,"yes","no"
"42","1 - 200 DM",12,"good","furniture/appliances",1158,"500 - 1000 DM","1 - 4 years",3,1,26,"none","own",1,"skilled",1,"yes","no"
"123","unknown",12,"good","furniture/appliances",1768,"< 100 DM","1 - 4 years",3,2,24,"none","rent",1,"unskilled",1,"no","no"
"446","unknown",9,"critical","education",1244,"unknown","> 7 years",4,4,41,"none","rent",2,"unskilled",1,"no","no"
"420","1 - 200 DM",18,"good","car",1042,"unknown","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"no","yes"
"626","unknown",15,"good","furniture/appliances",1979,"unknown","> 7 years",4,2,35,"none","own",1,"skilled",1,"no","no"
"120","1 - 200 DM",12,"critical","car",2366,"500 - 1000 DM","4 - 7 years",3,3,36,"none","own",1,"management",1,"yes","no"
"616","1 - 200 DM",48,"perfect","business",12204,"unknown","1 - 4 years",2,2,48,"bank","own",1,"management",1,"yes","no"
"63","1 - 200 DM",36,"perfect","business",1953,"< 100 DM","> 7 years",4,4,61,"none","other",1,"management",1,"yes","yes"
"452","unknown",6,"good","furniture/appliances",518,"< 100 DM","1 - 4 years",3,1,29,"none","own",1,"skilled",1,"no","no"
"707","1 - 200 DM",48,"good","car",6560,"100 - 500 DM","4 - 7 years",3,2,24,"none","own",1,"skilled",1,"no","yes"
"846","1 - 200 DM",21,"good","furniture/appliances",3976,"unknown","4 - 7 years",2,3,35,"none","own",1,"skilled",1,"yes","no"
"559","< 0 DM",24,"very good","furniture/appliances",3552,"< 100 DM","4 - 7 years",3,4,27,"bank","own",1,"skilled",1,"no","yes"
"311","1 - 200 DM",48,"good","car0",5381,"unknown","unemployed",3,4,40,"bank","other",1,"unemployed",1,"yes","no"
"705","1 - 200 DM",27,"good","business",2528,"< 100 DM","< 1 year",4,1,32,"none","own",1,"skilled",2,"yes","no"
"907","< 0 DM",21,"good","car",3763,"unknown","4 - 7 years",2,2,24,"none","own",1,"unskilled",1,"no","no"
"327","unknown",12,"critical","furniture/appliances",5801,"unknown","> 7 years",2,4,49,"none","rent",1,"skilled",1,"yes","no"
"477","unknown",39,"good","car",2569,"500 - 1000 DM","1 - 4 years",4,4,24,"none","own",1,"skilled",1,"no","no"
"5","< 0 DM",24,"poor","car",4870,"< 100 DM","1 - 4 years",3,4,53,"none","other",2,"skilled",2,"no","yes"
"735","unknown",4,"critical","car",3380,"< 100 DM","4 - 7 years",1,1,37,"none","own",1,"skilled",2,"no","no"
"241","< 0 DM",24,"good","car",915,"unknown","> 7 years",4,2,29,"bank","own",1,"skilled",1,"no","yes"
"288","1 - 200 DM",48,"poor","car0",7582,"100 - 500 DM","unemployed",2,4,31,"none","other",1,"management",1,"yes","no"
"395","unknown",9,"critical","furniture/appliances",2406,"< 100 DM","unemployed",2,3,31,"none","own",1,"management",1,"no","no"
"471","1 - 200 DM",24,"good","furniture/appliances",3092,"100 - 500 DM","< 1 year",3,2,22,"none","rent",1,"skilled",1,"yes","yes"
"868","unknown",12,"critical","furniture/appliances",3331,"< 100 DM","> 7 years",2,4,42,"store","own",1,"skilled",1,"no","no"
"451","unknown",36,"critical","car",11054,"unknown","1 - 4 years",4,2,30,"none","own",1,"management",1,"yes","no"
"615","unknown",18,"poor","furniture/appliances",1808,"< 100 DM","4 - 7 years",4,1,22,"none","own",1,"skilled",1,"no","yes"
"367","unknown",18,"critical","car",3850,"< 100 DM","4 - 7 years",3,1,27,"none","own",2,"skilled",1,"no","no"
"4","< 0 DM",42,"good","furniture/appliances",7882,"< 100 DM","4 - 7 years",2,4,45,"none","other",1,"skilled",2,"no","no"
"349","unknown",6,"poor","business",1743,"100 - 500 DM","1 - 4 years",1,2,34,"none","own",2,"unskilled",1,"no","no"
"922","unknown",48,"poor","furniture/appliances",12749,"500 - 1000 DM","4 - 7 years",4,1,37,"none","own",1,"management",1,"yes","no"
"466","< 0 DM",24,"good","car",2924,"< 100 DM","1 - 4 years",3,4,63,"bank","own",1,"skilled",2,"yes","no"
"171","< 0 DM",15,"perfect","car",950,"< 100 DM","> 7 years",4,3,33,"none","rent",2,"skilled",2,"no","yes"
"459","< 0 DM",6,"good","furniture/appliances",343,"< 100 DM","< 1 year",4,1,27,"none","own",1,"skilled",1,"no","no"
"653","< 0 DM",24,"good","car",2303,"< 100 DM","> 7 years",4,1,45,"none","own",1,"skilled",1,"no","yes"
"754","unknown",30,"critical","furniture/appliances",5771,"< 100 DM","4 - 7 years",4,2,25,"none","own",2,"skilled",1,"no","no"
"727","unknown",15,"critical","furniture/appliances",1316,"500 - 1000 DM","1 - 4 years",2,2,47,"none","own",2,"unskilled",1,"no","no"
"201","unknown",9,"critical","education",936,"500 - 1000 DM","> 7 years",4,2,52,"none","own",2,"skilled",1,"yes","no"
"144","< 0 DM",18,"good","furniture/appliances",2462,"< 100 DM","1 - 4 years",2,2,22,"none","own",1,"skilled",1,"no","yes"
"1","< 0 DM",6,"critical","furniture/appliances",1169,"unknown","> 7 years",4,4,67,"none","own",2,"skilled",1,"yes","no"
"634","unknown",9,"good","furniture/appliances",1980,"< 100 DM","< 1 year",2,2,19,"none","rent",2,"skilled",1,"no","yes"
"555","1 - 200 DM",9,"good","education",1199,"< 100 DM","4 - 7 years",4,4,67,"none","own",2,"management",1,"yes","no"
"597","< 0 DM",24,"good","car",1442,"< 100 DM","4 - 7 years",4,4,23,"none","rent",2,"skilled",1,"no","yes"
"935","< 0 DM",12,"good","furniture/appliances",1498,"< 100 DM","1 - 4 years",4,1,23,"bank","own",1,"skilled",1,"no","no"
"490","unknown",6,"good","car",3518,"< 100 DM","1 - 4 years",2,3,26,"none","rent",1,"skilled",1,"no","no"
"629","unknown",42,"critical","furniture/appliances",4042,"500 - 1000 DM","1 - 4 years",4,4,36,"none","own",2,"skilled",1,"yes","no"
"107","unknown",18,"very good","car",6458,"< 100 DM","> 7 years",2,4,39,"bank","own",2,"management",2,"yes","yes"
"862","unknown",18,"poor","business",2169,"< 100 DM","1 - 4 years",4,2,28,"none","own",1,"skilled",1,"yes","yes"
"143","< 0 DM",27,"good","furniture/appliances",3416,"< 100 DM","1 - 4 years",3,2,27,"none","own",1,"management",1,"no","no"
"139","1 - 200 DM",15,"critical","furniture/appliances",2728,"unknown","4 - 7 years",4,2,35,"bank","own",3,"skilled",1,"yes","no"
"898","unknown",12,"critical","furniture/appliances",1592,"> 1000 DM","4 - 7 years",3,2,35,"none","own",1,"skilled",1,"no","no"
"331","< 0 DM",24,"critical","car",6615,"< 100 DM","unemployed",2,4,75,"none","other",2,"management",1,"yes","no"
"438","unknown",24,"critical","car",1287,"> 1000 DM","> 7 years",4,4,37,"none","own",2,"skilled",1,"yes","no"
"318","1 - 200 DM",24,"good","furniture/appliances",4351,"unknown","1 - 4 years",1,4,48,"none","own",1,"unskilled",1,"yes","no"
"495","< 0 DM",12,"critical","car",2122,"< 100 DM","1 - 4 years",3,2,39,"none","rent",2,"unskilled",2,"no","no"
"563","> 200 DM",6,"poor","furniture/appliances",683,"< 100 DM","< 1 year",2,1,29,"bank","own",1,"skilled",1,"no","no"
"549","< 0 DM",12,"very good","furniture/appliances",626,"< 100 DM","1 - 4 years",4,4,24,"bank","own",1,"unskilled",1,"no","yes"
"61","1 - 200 DM",9,"good","business",1391,"< 100 DM","1 - 4 years",2,1,27,"bank","own",1,"skilled",1,"yes","no"
"908","1 - 200 DM",36,"good","education",3711,"unknown","1 - 4 years",2,2,27,"none","own",1,"skilled",1,"no","no"
"747","< 0 DM",15,"good","car",2511,"< 100 DM","unemployed",1,4,23,"none","rent",1,"skilled",1,"no","no"
"903","unknown",36,"critical","car",10477,"unknown","> 7 years",2,4,42,"none","other",2,"skilled",1,"no","no"
"10","1 - 200 DM",30,"critical","car",5234,"< 100 DM","unemployed",4,2,28,"none","own",2,"management",1,"no","yes"
"658","unknown",48,"good","furniture/appliances",10222,"unknown","4 - 7 years",4,3,37,"store","own",1,"skilled",1,"yes","no"
"548","unknown",24,"good","furniture/appliances",1552,"< 100 DM","4 - 7 years",3,1,32,"bank","own",1,"skilled",2,"no","no"
"49","unknown",11,"critical","car",7228,"< 100 DM","1 - 4 years",1,4,39,"none","own",2,"unskilled",1,"no","no"
"990","1 - 200 DM",24,"critical","furniture/appliances",1743,"< 100 DM","> 7 years",4,2,48,"none","own",2,"unskilled",1,"no","no"
"227","1 - 200 DM",48,"good","furniture/appliances",10961,"> 1000 DM","4 - 7 years",1,2,27,"bank","own",2,"skilled",1,"yes","yes"
"112","> 200 DM",15,"good","education",392,"< 100 DM","< 1 year",4,4,23,"none","rent",1,"skilled",1,"yes","no"
"439","< 0 DM",42,"critical","renovations",3394,"< 100 DM","unemployed",4,4,65,"none","own",2,"unemployed",1,"no","no"
"900","< 0 DM",18,"good","furniture/appliances",4153,"< 100 DM","1 - 4 years",2,3,42,"none","own",1,"skilled",1,"no","yes"
"830","1 - 200 DM",48,"poor","business",6681,"unknown","1 - 4 years",4,4,38,"none","other",1,"skilled",2,"yes","no"
"577","1 - 200 DM",12,"good","furniture/appliances",2930,"< 100 DM","4 - 7 years",2,1,27,"none","own",1,"skilled",1,"no","no"
"738","< 0 DM",18,"good","car",4380,"100 - 500 DM","1 - 4 years",3,4,35,"none","own",1,"unskilled",2,"yes","no"
"804","unknown",12,"critical","furniture/appliances",976,"unknown","> 7 years",4,4,35,"none","own",2,"skilled",1,"no","no"
"243","< 0 DM",48,"perfect","car",4605,"< 100 DM","> 7 years",3,4,24,"none","other",2,"skilled",2,"no","yes"
"810","1 - 200 DM",15,"perfect","car",1778,"< 100 DM","< 1 year",2,1,26,"none","rent",2,"unemployed",1,"no","yes"
"303","> 200 DM",24,"critical","car",1344,"unknown","4 - 7 years",4,2,37,"bank","own",2,"unskilled",2,"no","yes"
"955","< 0 DM",12,"good","car",1893,"< 100 DM","1 - 4 years",4,4,29,"none","own",1,"skilled",1,"yes","no"
"583","unknown",9,"good","furniture/appliances",1388,"< 100 DM","1 - 4 years",4,2,26,"none","rent",1,"skilled",1,"no","no"
"195","1 - 200 DM",45,"good","furniture/appliances",3031,"100 - 500 DM","1 - 4 years",4,4,21,"none","rent",1,"skilled",1,"no","yes"
"534","unknown",24,"good","furniture/appliances",1311,"100 - 500 DM","4 - 7 years",4,3,26,"none","own",1,"skilled",1,"yes","no"
"679","< 0 DM",24,"good","furniture/appliances",2384,"< 100 DM","> 7 years",4,4,64,"bank","rent",1,"unskilled",1,"no","no"
"454","unknown",24,"good","car",2670,"< 100 DM","> 7 years",4,4,35,"none","own",1,"management",1,"yes","no"
"598","1 - 200 DM",24,"perfect","business",4241,"< 100 DM","1 - 4 years",1,4,36,"none","own",3,"unskilled",1,"yes","yes"
"350","1 - 200 DM",9,"critical","education",1136,"> 1000 DM","> 7 years",4,3,32,"none","other",2,"skilled",2,"no","yes"
"620","unknown",12,"good","car",640,"< 100 DM","1 - 4 years",4,2,49,"none","own",1,"unskilled",1,"no","no"
"579","1 - 200 DM",36,"critical","car",2820,"< 100 DM","< 1 year",4,4,27,"none","own",2,"skilled",1,"no","yes"
"893","< 0 DM",12,"critical","car",2171,"< 100 DM","1 - 4 years",4,4,38,"bank","own",2,"unskilled",1,"no","no"
"614","< 0 DM",24,"very good","car",3632,"< 100 DM","1 - 4 years",1,4,22,"bank","rent",1,"skilled",1,"no","no"
"465","unknown",18,"good","business",1950,"< 100 DM","4 - 7 years",4,1,34,"store","own",2,"skilled",1,"yes","no"
"162","unknown",18,"critical","car",1055,"< 100 DM","< 1 year",4,1,30,"none","own",2,"skilled",1,"no","no"
"521","unknown",24,"critical","renovations",5507,"< 100 DM","> 7 years",3,4,44,"none","other",2,"skilled",1,"no","no"
"805","1 - 200 DM",12,"good","car",7472,"unknown","unemployed",1,2,24,"none","rent",1,"unemployed",1,"no","no"
"256","1 - 200 DM",60,"poor","furniture/appliances",7418,"unknown","1 - 4 years",1,1,27,"none","own",1,"unskilled",1,"no","no"
"374","unknown",60,"critical","car",13756,"unknown","> 7 years",2,4,63,"bank","other",1,"management",1,"yes","no"
"299","unknown",18,"good","furniture/appliances",2515,"< 100 DM","1 - 4 years",3,4,43,"none","own",1,"skilled",1,"yes","no"
"836","< 0 DM",12,"perfect","car",1082,"< 100 DM","1 - 4 years",4,4,48,"bank","own",2,"skilled",1,"no","yes"
"832","< 0 DM",18,"good","car",1216,"< 100 DM","< 1 year",4,3,23,"none","rent",1,"skilled",1,"yes","yes"
"833","< 0 DM",45,"perfect","business",11816,"< 100 DM","> 7 years",2,4,29,"none","rent",2,"skilled",1,"no","yes"
"121","< 0 DM",21,"good","furniture/appliances",1835,"< 100 DM","1 - 4 years",3,2,25,"none","own",2,"skilled",1,"yes","yes"
"425","1 - 200 DM",12,"good","furniture/appliances",2762,"unknown","> 7 years",1,2,25,"bank","own",1,"skilled",1,"yes","yes"
"72","unknown",7,"critical","furniture/appliances",730,"unknown","> 7 years",4,2,46,"none","rent",2,"unskilled",1,"yes","no"
"644","unknown",24,"critical","furniture/appliances",1851,"< 100 DM","4 - 7 years",4,2,33,"none","own",2,"skilled",1,"yes","no"
"254","unknown",24,"poor","furniture/appliances",4151,"100 - 500 DM","1 - 4 years",2,3,35,"none","own",2,"skilled",1,"no","no"
"799","unknown",24,"poor","car",717,"unknown","> 7 years",4,4,54,"none","own",2,"skilled",1,"yes","no"
"320","< 0 DM",15,"poor","furniture/appliances",3643,"< 100 DM","> 7 years",1,4,27,"none","own",2,"unskilled",1,"no","no"
"741","< 0 DM",24,"very good","car",2325,"100 - 500 DM","4 - 7 years",2,3,32,"bank","own",1,"skilled",1,"no","no"
"633","1 - 200 DM",15,"good","furniture/appliances",1444,"unknown","< 1 year",4,1,23,"none","own",1,"skilled",1,"no","no"
"301","unknown",6,"good","car",672,"< 100 DM","unemployed",1,4,54,"none","own",1,"unemployed",1,"yes","no"
"435","< 0 DM",9,"good","furniture/appliances",2136,"< 100 DM","1 - 4 years",3,2,25,"none","own",1,"skilled",1,"no","no"
"31","1 - 200 DM",18,"good","business",1913,"> 1000 DM","< 1 year",3,3,36,"bank","own",1,"skilled",1,"yes","no"
"737","1 - 200 DM",24,"good","car",11560,"< 100 DM","1 - 4 years",1,4,23,"none","rent",2,"management",1,"no","yes"
"621","1 - 200 DM",21,"critical","business",3652,"< 100 DM","4 - 7 years",2,3,27,"none","own",2,"skilled",1,"no","no"
"190","1 - 200 DM",18,"perfect","furniture/appliances",3244,"< 100 DM","1 - 4 years",1,4,33,"bank","own",2,"skilled",1,"yes","no"
"693","1 - 200 DM",24,"good","furniture/appliances",2896,"100 - 500 DM","< 1 year",2,1,29,"none","own",1,"skilled",1,"no","no"
"849","< 0 DM",9,"good","furniture/appliances",1364,"< 100 DM","4 - 7 years",3,4,59,"none","own",1,"skilled",1,"no","no"
"733","1 - 200 DM",8,"good","furniture/appliances",760,"< 100 DM","4 - 7 years",4,2,44,"none","own",1,"unskilled",1,"no","no"
"582","1 - 200 DM",12,"critical","car",3124,"< 100 DM","< 1 year",1,3,49,"bank","own",2,"unskilled",2,"no","no"
"825","unknown",18,"critical","furniture/appliances",3780,"< 100 DM","< 1 year",3,2,35,"none","own",2,"management",1,"yes","no"
"181","unknown",36,"poor","business",9572,"< 100 DM","< 1 year",1,1,28,"none","own",2,"skilled",1,"no","yes"
"766","1 - 200 DM",12,"good","furniture/appliances",1155,"< 100 DM","> 7 years",3,3,40,"bank","own",2,"unskilled",1,"no","no"
"984","< 0 DM",36,"good","car",8229,"< 100 DM","1 - 4 years",2,2,26,"none","own",1,"skilled",2,"no","yes"
"911","unknown",36,"poor","furniture/appliances",4454,"< 100 DM","1 - 4 years",4,4,34,"none","own",2,"skilled",1,"no","no"
"594","1 - 200 DM",24,"good","car",2718,"< 100 DM","1 - 4 years",3,4,20,"none","rent",1,"unskilled",1,"yes","yes"
"402","1 - 200 DM",18,"critical","business",1887,"unknown","1 - 4 years",4,4,28,"bank","own",2,"skilled",1,"no","no"
"981","1 - 200 DM",30,"critical","furniture/appliances",8386,"< 100 DM","4 - 7 years",2,2,49,"none","own",1,"skilled",1,"no","yes"
"837","unknown",12,"good","furniture/appliances",886,"unknown","1 - 4 years",4,2,21,"none","own",1,"skilled",1,"no","no"
"645","< 0 DM",18,"critical","furniture/appliances",1880,"< 100 DM","4 - 7 years",4,1,32,"none","own",2,"management",1,"yes","no"
"757","> 200 DM",6,"critical","car",1299,"< 100 DM","1 - 4 years",1,1,74,"none","own",3,"unemployed",2,"no","no"
"710","1 - 200 DM",9,"good","furniture/appliances",2118,"< 100 DM","1 - 4 years",2,2,37,"none","own",1,"unskilled",2,"no","no"
"363","> 200 DM",12,"poor","car",2247,"< 100 DM","1 - 4 years",2,2,36,"store","own",2,"skilled",1,"yes","no"
"674","unknown",6,"critical","car",2080,"500 - 1000 DM","1 - 4 years",1,2,24,"none","own",1,"skilled",1,"no","no"
"890","unknown",28,"very good","car",7824,"unknown","< 1 year",3,4,40,"bank","rent",2,"skilled",2,"yes","no"
"359","unknown",12,"good","furniture/appliances",776,"< 100 DM","1 - 4 years",4,2,28,"none","own",1,"skilled",1,"no","no"
"855","unknown",36,"poor","car",10875,"< 100 DM","> 7 years",2,2,45,"none","own",2,"skilled",2,"yes","no"
"927","< 0 DM",18,"critical","furniture/appliances",1049,"< 100 DM","< 1 year",4,4,21,"none","rent",1,"skilled",1,"no","no"
"298","unknown",10,"good","car",1287,"unknown","> 7 years",4,2,45,"none","own",1,"unskilled",1,"no","no"
"853","unknown",15,"critical","furniture/appliances",1471,"< 100 DM","1 - 4 years",4,4,35,"none","other",2,"skilled",1,"yes","no"
"878","unknown",36,"good","furniture/appliances",3595,"< 100 DM","> 7 years",4,2,28,"none","own",1,"skilled",1,"no","no"
